song_id,artist,title,year,tag
560,Falls of Rauros,Impermanence Streakt Through Marble,2017,rock
561,Civil Twilight,Story of an Immigrant Acoustic,2016,rock
562,Y&T,Try to Believe,1997,rock
563,Jimmy Barnes,Working Class Hero,2019,rock
564,Ozma,Motorology,2007,rock
565,Purple (Texas Music),Bliss,2016,rock
566,Perennial,Dissolver,2017,rock
567,Majestica,This Christmas,2021,rock
568,Ben Khan,Savage,2014,rock
569,Helena Arlock,Go Go Go,2010,rock
570,Marvin Gaye,One More Heartache,1966,rock
571,I Prevail,RISE,2016,rock
572,Cold Chisel,Saturday Night,1984,rock
573,Linkin Park,No More Sorrow,2007,rock
574,OneRepublic,Come Home,2007,rock
575,Lynx (1976),Holding on,1976,rock
576,Solstice (USA),S.M.D.,1992,rock
577,Maggie Gently,Alive,2020,rock
578,Thrown into Exile,The Wronged,2020,rock
579,Scary Kids Scaring Kids,Prelude,2007,rock
580,Ezurate,Resurrection Of Ancient Evil,2007,rock
581,Newcomers Club,Oh Woman,2018,rock
582,Aim High,Penny Lane,2021,rock
583,Eldest 11,Serrated,2013,rock
584,DevilDriver,Clouds Over California,2007,rock
585,Hope for the Dying,Imminent War,2011,rock
586,Ghost Brigade,Anchored,2014,rock
587,Forever Unknown,Sad people blue eyes,2022,rock
588,Sanctus Real,One of Those Things,2013,rock
